time_created,id,level,provider,record_id,message
2026-09-02T09:53:55.4869818+07:00,125,"Information","Microsoft-Windows-Kernel-Power",18501,"ACPI thermal zone \_TZ.TZ00 has been enumerated.              _PSV = 0K              _TC1 = 0              _TC2 = 0              _TSP = 0ms              _AC0 = 353K              _AC1 = 328K              _AC2 = 323K              _AC3 = 318K              _AC4 = 313K              _AC5 = 0K              _AC6 = 0K              _AC7 = 0K              _AC8 = 0K              _AC9 = 0K              _CRT = 378K              _HOT = 0K              minimum throttle = 0              _CR3 = 0K"
2026-09-02T09:53:55.4907585+07:00,41,"Critical","Microsoft-Windows-Kernel-Power",18502,"The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
2026-09-02T09:53:55.5020446+07:00,172,"Information","Microsoft-Windows-Kernel-Power",18503,"Connectivity state in standby: Disconnected, Reason: NIC compliance"
2026-09-02T09:54:00.5356199+07:00,125,"Information","Microsoft-Windows-Kernel-Power",18558,"ACPI thermal zone \_TZ.TZ10 has been enumerated.              _PSV = 290K              _TC1 = 0              _TC2 = 0              _TSP = 1000ms              _AC0 = 0K              _AC1 = 0K              _AC2 = 0K              _AC3 = 0K              _AC4 = 0K              _AC5 = 0K              _AC6 = 0K              _AC7 = 0K              _AC8 = 0K              _AC9 = 0K              _CRT = 294K              _HOT = 293K              minimum throttle = 0              _CR3 = 0K"
2026-09-02T14:39:54.0350340+07:00,566,"Information","Microsoft-Windows-Kernel-Power",18607,"The system session has transitioned from 0 to 1. Reason SessionUnlock  BootId: 96"
2026-09-02T14:39:54.1093743+07:00,566,"Information","Microsoft-Windows-Kernel-Power",18608,"The system session has transitioned from 1 to 3. Reason SxTransition  BootId: 96"
2026-09-02T14:39:54.6749635+07:00,42,"Information","Microsoft-Windows-Kernel-Power",18609,"The system is entering sleep. Sleep Reason: System Idle"
2026-09-02T14:39:58.7729244+07:00,107,"Information","Microsoft-Windows-Kernel-Power",18612,"The system has resumed from sleep."
2026-09-02T15:32:28.5002580+07:00,131,"Information","Microsoft-Windows-Kernel-Power",18614,"Firmware S3 times. ResumeCount: 1, FullResume: 1891, AverageResume: 1891"
2026-09-02T15:32:28.5002590+07:00,130,"Information","Microsoft-Windows-Kernel-Power",18615,"Firmware S3 times. SuspendStart: 17068796, SuspendEnd: 17068807"
2026-09-02T15:32:29.4113889+07:00,566,"Information","Microsoft-Windows-Kernel-Power",18616,"The system session has transitioned from 3 to 4. Reason SxTransition  BootId: 96"
2026-09-02T15:32:29.7555295+07:00,566,"Information","Microsoft-Windows-Kernel-Power",18617,"The system session has transitioned from 4 to 6. Reason Unknown  BootId: 96"
2026-09-02T15:33:30.4473321+07:00,566,"Information","Microsoft-Windows-Kernel-Power",18620,"The system session has transitioned from 6 to 7. Reason SessionUnlock  BootId: 96"
2026-09-02T15:47:57.4161570+07:00,566,"Information","Microsoft-Windows-Kernel-Power",18622,"The system session has transitioned from 7 to 9. Reason SxTransition  BootId: 96"
2026-09-02T15:47:57.8845239+07:00,42,"Information","Microsoft-Windows-Kernel-Power",18623,"The system is entering sleep. Sleep Reason: System Idle"
2026-09-02T15:48:00.1449404+07:00,107,"Information","Microsoft-Windows-Kernel-Power",18624,"The system has resumed from sleep."
2026-09-02T17:10:48.5002112+07:00,131,"Information","Microsoft-Windows-Kernel-Power",18626,"Firmware S3 times. ResumeCount: 2, FullResume: 1888, AverageResume: 1890"
2026-09-02T17:10:48.5002125+07:00,130,"Information","Microsoft-Windows-Kernel-Power",18627,"Firmware S3 times. SuspendStart: 17994220, SuspendEnd: 17994231"
2026-09-02T17:10:49.4023614+07:00,566,"Information","Microsoft-Windows-Kernel-Power",18628,"The system session has transitioned from 9 to 10. Reason SxTransition  BootId: 96"
2026-09-02T17:10:49.7293438+07:00,566,"Information","Microsoft-Windows-Kernel-Power",18629,"The system session has transitioned from 10 to 12. Reason Unknown  BootId: 96"
2026-09-02T17:11:50.3200991+07:00,566,"Information","Microsoft-Windows-Kernel-Power",18632,"The system session has transitioned from 12 to 13. Reason SessionUnlock  BootId: 96"
2026-09-02T17:26:15.7932955+07:00,566,"Information","Microsoft-Windows-Kernel-Power",18633,"The system session has transitioned from 13 to 15. Reason SxTransition  BootId: 96"
2026-09-02T17:26:16.2607121+07:00,42,"Information","Microsoft-Windows-Kernel-Power",18634,"The system is entering sleep. Sleep Reason: System Idle"
2026-09-02T17:26:18.5341870+07:00,107,"Information","Microsoft-Windows-Kernel-Power",18635,"The system has resumed from sleep."
2026-09-02T17:29:54.5002280+07:00,131,"Information","Microsoft-Windows-Kernel-Power",18637,"Firmware S3 times. ResumeCount: 3, FullResume: 1908, AverageResume: 1896"
2026-09-02T17:29:54.5002290+07:00,130,"Information","Microsoft-Windows-Kernel-Power",18638,"Firmware S3 times. SuspendStart: 18918044, SuspendEnd: 18918055"
2026-09-02T17:29:55.4049460+07:00,566,"Information","Microsoft-Windows-Kernel-Power",18639,"The system session has transitioned from 15 to 16. Reason SxTransition  BootId: 96"
2026-09-02T17:29:55.7365584+07:00,566,"Information","Microsoft-Windows-Kernel-Power",18640,"The system session has transitioned from 16 to 18. Reason Unknown  BootId: 96"
